class   coords1   coords2   coords3   coords4   confidence_value   objectID
0 0.795608 0.670907 0.408785 0.658185 0.876757 12
56 0.840697 0.887244 0.316975 0.224665 0.713749 11
0 0.168202 0.738542 0.260996 0.519773 0.761914 22
56 0.536692 0.802553 0.176695 0.319473 0.853661 24
0 0.166291 0.566702 0.235784 0.363022 0.755565 16

0 0.795603 0.670535 0.408794 0.658644 0.86626 12
56 0.840663 0.886999 0.317302 0.224878 0.517852 11
0 0.191977 0.739712 0.27359 0.517811 0.718947 22
56 0.536861 0.797402 0.171936 0.311032 0.857083 24
0 0.172437 0.562438 0.230063 0.352233 0.846939 16

0 0.79534 0.669452 0.40932 0.66087 0.881366 12
56 0.840679 0.886844 0.31785 0.225356 0.682988 11
0 0.213779 0.738416 0.290688 0.520499 0.63294 22
